Datetime,Text,label
2022-05-08,chivas celebrates years history today el rebao seen great legends wear jersey unforgettable memories created los rojiblancos get th league title celebrate year,1
2022-05-08,play leagueoflegends,0
2022-05-08,leagueoflegends event,0
2022-05-08,managed snatch league title goals games promotions titles retired legend arsenal result,1
2022-05-08,yo looks nice nice see drawing leagueoflegends champions,0
2022-05-08,leagueoflegends,0
2022-05-08,halfway arcane know nothing leagueoflegends love video gameness show everyone unfairly attractive settings unbelievably cool like book wrote teen filled mary sue ocs sweet gadgets magic,0
2022-05-08,love everyone replies demanding proper update varus varus love stands strong,1
2022-05-08,lot loads derbies leagues champions lg europa league scored shit ton goals club legend azpi club legend ur fans say,1
2022-05-08,guarantee ever played leagueoflegends,1
2022-05-08,first trollpick mid got dodge midlaner take yuumi fun especially later ints entire game love leagueoflegends,1
2022-05-08,five leagueoflegends characters would love see,1
2022-05-08,monster hunter genu celeste elite dangerous pokemon ruby final fantasy team fortress dark souls payday leagueoflegends super mario sunshine,1
2022-05-08,leagueoflegends,0
2022-05-08,heard friend playing leagueoflegends rage turn game start laughing like minute later leagueoflegends sucks happiness people,0
2022-05-08,would think small indie company like leagueoflegends would least client figured,0
2022-05-08,funsmith playable champion leagueoflegends exists legends runeterra,0
2022-05-08,going live leagueoflegends wwe ppv tonight come stop say hi followers affiliate,1
2022-05-08,tinder leagueoflegends tag ahaha,0
2022-05-08,yo thanks helping climb way gold leagueoflegends,1
2022-05-08,best leagueoflegends game ever elections starts thank guys making forget anxiety even moment,1
2022-05-08,leagueoflegends video post valorant strategy game gives instructions soldiers real time click link watch,0
2022-05-08,much better place may souls rest peace thank much support really means lot big hugs,1
2022-05-08,pls nexus raid mod,0
2022-05-08,wrong,0
2022-05-08,one things love dota ability draft would fun play league someday,1
2022-05-08,current time found every emote leagueoflegends,0
2022-05-08,know heights always seem looking even look perspective,0
2022-05-08,said one plays leagueoflegends,0
2022-05-08,top right corner makes think blue essence,1
2022-05-08,creators show confirmed,1
2022-05-08,learning play mid leagueoflegends come watch give tips cause bad,0
2022-05-08,vvl vs awkwards leagueoflegends,0
2022-05-08,reddit created could go comments section post bad leagueoflegends metagame takes someone gets pissed flames says wrong person gets downvoted hivemind,0
2022-05-08,ever think ideas weird know wrote fanfic mixed dragon age leagueoflegends yea,1
2022-05-08,leagueoflegends ft,0
2022-05-08,queuing game leagueoflegends already wrong decision,0
2022-05-08,leagueoflegends event,0
2022-05-08,un popular opinion leagueoflegends sort difficult ts kind like thought guy still lives parents,0
2022-05-08,leagueoflegends new grindr,0
2022-05-08,require previous work leagueoflegends besides talent management organized timely responses detail oriented important basic knowledge spreadsheets must open availability may august must available first week july,1
2022-05-08,looking hire roles entry level paid contracted position leagueoflegends na broadcast production assistant content coordinator broadcast talent management tournament ops midwest see details please dm role interested,0
2022-05-08,arcane leagueoflegends,0
2022-05-08,leagueoflegends vibes,0
2022-05-08,omori stellaris final fantasy last us halo monster hunter world genu idk fire emblem three houses skyrim leagueoflegends hurts true minecraft,0
2022-05-08,earned psn trophies bronze ruined king leagueoflegends story,0
2022-05-08,leagueoflegends corruption things,0
2022-05-08,lost long time ago play leagueoflegends daily xd,1
2022-05-08,riot woke,0
2022-05-08,state champions esports team captured state championships super smash brothers leagueoflegends congratulations incredible accomplishment inaugural year,1
2022-05-08,cannot found updated version splash art,0
2022-05-08,hi champ fantastic season would league without loved everyone massive congratulations finally getting winners medal legend cannot wait see back pitch,1
2022-05-08,leagueoflegends cool stuff thanks,1
2022-05-08,prerry sure pic march leagueoflegends timeline man,1
2022-05-08,nice work,0
2022-05-08,really reduced price link leagueoflegends account prime gaming,0
2022-05-08,leagueoflegends val,0
2022-05-08,yeah called leagueoflegends,0
2022-05-08,anyone ever caught cheating competitive game banned similar competitions life exceptions,0
2022-05-08,pretty sure beckham classed legend caps plenty trophies played best clubs world saved major league soccer guys pretty good american sports rd guy drives car,1
2022-05-08,lennydarkcloud streaming leagueoflegends,0
2022-05-08,arena valor similar leagueoflegends lot simpler mobile,1
2022-05-08,cflaa fund showtime legendary collection partnered many legends piece league history limited edition legendary digital trading cards,1
2022-05-08,logicool lol da pro leagueoflegends gx lightsync rgb,1
2022-05-08,high asl wanna play bad unban tranna run stop cussin trash people,0
2022-05-08,check leagueoflegends clip recorded,1
2022-05-08,pls put back raid nexus mod love,0
2022-05-08,neeko character leagueoflegends,0
2022-05-08,going crazy mobile,0
2022-05-08,losers players never win premier league champions league quality united must change everything ten hag must guardiola city replacing renewing taking full powers beyond destruction united legend,0
2022-05-08,leagueoflegends,0
2022-05-08,mines video game specifically leagueoflegends really seem get away lore tft etc anytime go back get really good thankfully make time know would better like coding,1
2022-05-08,lol leagueoflegends,1
2022-05-08,basically happened leagueoflegends coach name iridiell team empireclubeu insulted entire lobby game confronted fact behavior hurtful towards others started dodging questions,0
2022-05-08,day olaf leagueoflegends,0
2022-05-08,gif see real video ultra example new roster league legend,0
2022-05-08,leagueoflegends,0
2022-05-08,leagueoflegends,0
2022-05-08,hate jhin leagueoflegends,0
2022-05-08,live leagueoflegends,0
2022-05-08,thing leagueoflegends timeline,0
2022-05-08,live leagueoflegends ber saturday night morgana main,0
2022-05-08,leagueoflegends ha funny used play game one game playing top lane attrox vs urgot counter picked managed get first kill bought cull free recall shaco jungle died ganking bottom typed lol quit,0
2022-05-08,someone near playing enemy imagine dragons jid arcane leagueoflegends,0
2022-05-08,said premier league stats lazy journalism attempt erase legends game add cl stats well,0
2022-05-08,leagueoflegends,0
2022-05-08,league legend,0
2022-05-08,months get shape work mental health fix life instead played leagueoflegends,0
2022-05-08,sunday stream quickie leagueoflegends test,0
2022-05-08,swear leagueoflegends music festival thing real introduce new group artists cry jinx music world,0
2022-05-08,leagueoflegends video post valorant strategy game gives instructions soldiers real time click link watch,0
2022-05-08,leagueoflegends greater,0
2022-05-08,naur wench past trying reach leagueoflegends places,1
2022-05-08,bro hes highest goalscorer history sunday league football hes legend jude never outscore sl career goals lmao,0
2022-05-08,leagueoflegends,0
2022-05-08,leagueoflegends,0
2022-05-08,streaming twitch playing leagueoflegends,0
2022-05-08,pov sit play leagueoflegends climb,0
2022-05-08,ok honestly expect want title much,0
2022-05-08,leagueoflegends interesting image circulating among aunt mohteryoshka whatsapp group seems pool party seraphine said uncertain investigate far seems oddly accurate actual design,0
2022-05-08,check play recorded desktop app,0
2022-05-08,bro get mean point win champions league trophies played big role two prems obviously played massive role cup winners cup fa cups point trying make need loads trophies legend,0
2022-05-08,yorick things recorded desktop app,0
2022-05-08,two worst leagueoflegends players ever meet,0
2022-05-08,hey hear fighters project shadows darkness ninja molded lives take either granted earnest balance place one kills kill zed please thanks,0
2022-05-08,sergio aguero today received description update fut database legend premier league era end era,1
2022-05-08,milan salary cap around half inter juve winning league possible whine stepping stone club big props legend,1
2022-05-08,riot made aatrox simp kayle make varus gay,0
2022-05-08,league leends,0
2022-05-08,another day leagueoflegends lmao,0
2022-05-08,leagueoflegends burn care,0
2022-05-08,think hottest yordle leagueoflegends,0
2022-05-08,league legend mdr,0
2022-05-08,leagueoflegends,0
2022-05-08,would prob go games pulls money viewership case prob gta leagueoflegends,0
2022-05-08,katarina leagueoflegends,0
2022-05-08,leagueoflegends deep datamine aunt motheryoshka found isolde model genshin impact files appears riot games tried hid release aunt motheryoshka dumb fall see render,1
2022-05-08,world,0
2022-05-08,legends runeterra much better job showcases alot rep base league terms lol amount growing still relatively small mostly relegated female castm,1
2022-05-08,bye leagueoflegends may one remember,0
2022-05-08,want play leagueoflegends want feel like cis white man,0
2022-05-08,also plays leagueoflegends hopeless romantic plays video games doesnt time bs dont ask money im sugar daddy im gunna pay bills please responsible pay im relationship dom male looking submissive,0
2022-05-08,personally prefer erl leagueoflegends rules roster,1
2022-05-08,opens leagueoflegends,0
2022-05-08,leagueoflegends ranked funny moments chats,0
2022-05-08,high noon varus skin spotlight league oflegends,1
2022-05-08,high noon katarina skin spotlight league oflegends,1
2022-05-08,prestige high noon talon skin spotlight league oflegends,1
2022-05-08,fuck micro macro global hate economics much hate leagueoflegends,0
2022-05-08,urge get leagueoflegends,0
2022-05-08,love mention mf aswell still get anything,0
2022-05-08,say leagueoflegends shit never question,0
2022-05-08,leagueoflegends,0
2022-05-08,pls remove sion game rework ultimate literally impossible win games always fucking sion players run go oneshot turrets nice champion,1
2022-05-08,going live leagueoflegends since last played go easy okie,0
2022-05-08,bloodmoon cosmic dark star project guess,0
2022-05-08,congrats win lp also lose game deducting lp wonder many players flame ranked games,0
2022-05-08,found people looking girlfriends boyfriends video games like leagueoflegends pubg mobile legends etc,0
2022-05-08,hyun leagueoflegends stick figure spotlights insane,0
2022-05-08,logicool lol da pro leagueoflegends gx lightsync rgb,1
2022-05-08,maybe sure,0
2022-05-08,hard bind ip block vpns make placements based cs min anything stop cancer ruining game people playing,0
2022-05-08,yeah music pretty bad,0
2022-05-08,think love leagueoflegends visit us com,1
2022-05-08,leagueoflegends,0
2022-05-08,league legend,0
2022-05-08,would like see mod characters leagueoflegends ngl would interesting see ornn volibear rapbattle,0
2022-05-08,hewwo leagueoflegends players wanna play later add angelina,1
2022-05-08,aphelios leagueoflegends,0
2022-05-08,leagueoflegends,0
2022-05-08,leagueoflegends pfp,0
2022-05-08,feel like need stop talking leagueoflegends start talking current socioeconomic state world,0
2022-05-08,going go forever plat support player last years playing season getting honor every season respectable league player,0
2022-05-08,logicool lol da pro leagueoflegends gx lightsync rgb,1
2022-05-08,sigma female omega male looking cool girl play leagueoflegends,1
2022-05-08,ty making skinline gave meaning,0
2022-05-08,fans thank continued support league hope legends justice see soon another legend,1
2022-05-08,forgot leagueoflegends twitter,0
2022-05-08,say leagueoflegends want league friends,0
2022-05-08,war xazory leagueoflegends crossed dark souls much challenging,0
2022-05-08,give camille crime city debonair skin,1
2022-05-08,dpr live song leagueoflegends,0
2022-05-08,good whole flirting bsi nothing day gym leagueoflegends,0
2022-05-08,influence epic gaming,0
2022-05-08,sometimes play senna reminded greatest leagueoflegends player current society,1
2022-05-08,bro hope fucking make adc playable people pick adc turret dive level rape champs,0
2022-05-08,also accept leagueoflegends,1
2022-05-08,case jv rocket league legends last match season vs la follette last week congratulations undefeated season proud everyone,1
2022-05-08,thing leagueoflegends timeline,0
2022-05-08,privilege arteta gets job ahead legend like vieira need remind league mates comes table positions go figure,1
2022-05-08,leagueoflegends joke lnjdwnmwdm,0
2022-05-08,schedule leagueoflegends summer split revealed proceedings commence june post,1
2022-05-08,tealz return th leagueoflegends wild rift lots libido love genders colors sizes,1
2022-05-08,pov average league legend player,0
2022-05-08,leagueoflegends,0
2022-05-08,really think riot leagueoflegends reporters need update north america flag,1
2022-05-08,leagueoflegends video post valorant strategy game gives instructions soldiers real time click link watch,0
2022-05-08,mass effect absolute favorite emotionally drawn story characters leagueoflegends cod terms competitive gaming,1
2022-05-08,leagueoflegends stream less hour,1
2022-05-08,enjoying leagueoflegends lately,1
2022-05-08,anyone disagrees hang,0
2022-05-08,wait rly ones except leagueoflegends,0
2022-05-08,sweet fellow leagueoflegends players wanna gift arcana xayah,1
2022-05-08,leagueoflegends durability update patch,0
2022-05-08,leagueoflegends,0
2022-05-08,play leagueoflegends,0
2022-05-08,idk needs hear leagueoflegends hundreds songs use free videos bangers,0
2022-05-08,anything except leagueoflegends,0
2022-05-08,explain leagueoflegends terms,0
2022-05-08,gonna play hit game leagueoflegends try end,1
2022-05-08,vs action leagueoflegends semis winner championship,1
2022-05-08,leagueoflegends leagueoflegends working today whats leagueoflegends legends legendsdown,0
2022-05-08,man hailed milan legend wins league dragged line many games years age,1
2022-05-08,time stream playing leagueoflegends maybe crew decide based matches go,0
2022-05-08,uninstalled leagueoflegends sexy bitches,0
2022-05-08,user reports indicate leagueoflegends problems since pm edt rt also problems,1
2022-05-08,play get away toxicity social media sad,0
2022-05-08,chill stream today start going rocking ranked games leagueoflegends maybe see twitch soules,1
2022-05-08,leagueoflegends,0
2022-05-08,legend end one league title team like united classed legend de gea even touch sides schmichael van der saar,0
2022-05-08,happy mom leagueoflegends,0
2022-05-08,wake today decide play leagueoflegends,0
2022-05-08,play league legend oh la con,0
2022-05-08,caitlyn vi arcane leagueoflegends,0
2022-05-08,ah leagueoflegends entr al chat,0
2022-05-08,leagueoflegends addicted,0
2022-05-08,old think mate arsenal still league titles switch luton still plastic glory hunting also many instances plastic calling cass pennant legend encouraging abuse players,0
2022-05-08,legends league,0
2022-05-08,seems league real legends pretender,0
2022-05-08,cc stand crowd control play leagueoflegends therefore friends,1
2022-05-08,prolific goalscoerer bohs legend johnny mcdonnell played ireland full amateur level well representing irish league definitely repesentative jersey kind going take punt irish league,1
2022-05-08,sona best enchanter league oflegends,1
2022-05-08,name yuumi like leagueoflegends character months old baby,1
2022-05-08,happy sometime finished watching arcane season know late boat bloody great show got looking leagueoflegends,1
2022-05-08,leagueoflegends xd,0
2022-05-08,omg added leagueoflegends tab,0
2022-05-08,safe places play leagueoflegends esports bet,0
2022-05-08,hey kid twitter supposed lie get onto twitter also destiny community thee toxic place earth next leagueoflegends community warframe,0
2022-05-08,leagueoflegends availble console yet minute moving straight play phone phone gaming terrible,0
2022-05-08,even leagueoflegends watch game reply guys,0
2022-05-08,people concerned stop playing fortnite warzone leagueoflegends,0
2022-05-08,go back playing leagueoflegends getting bitches,0
2022-05-08,leagueoflegends tag real,1
2022-05-08,one,0
2022-05-08,sorry ladies cannot sex busy playing leagueoflegends cry help,0
2022-05-08,doot without leagueoflegends,0
2022-05-08,see sort like leagueoflegends unlocking people,0
2022-05-08,check play recorded desktop app,0
2022-05-08,told cousin name thought named character leagueoflegends,0
2022-05-08,getting hit someone plays leagueoflegends,0
2022-05-08,minecraft gta leagueoflegends shit opinion valorant boring shit halo good old rocket league overrated havent played elden ring im good fortnite quit months im still away game absolutely ass fortnite shit,0
2022-05-08,course legend could win one premier league career says,1
2022-05-08,still live switched leagueoflegends,0
2022-05-08,get asu,0
2022-05-08,leagueoflegends prodigy,0
2022-05-08,leagueoflegends,0
2022-05-08,kevin de bruyne retire english football one best players ever graced epl premier league legend status cemented,1
2022-05-08,unfortunately aisha caught end leagueoflegends career old washed hands fast,0
2022-05-08,whats wrong leagueoflegends cannot play duo friends cuz say old version,0
2022-05-08,big changes leagueoflegends gameplay patch via,1
2022-05-08,ahem samira leagueoflegends thank coming ted talk,1
2022-05-08,logicool lol da pro leagueoflegends gx lightsync rgb,1
2022-05-08,nft games like looking leagueoflegends skin saying well games better skin cause play game,1
2022-05-08,koikatsu party leagueoflegends roblox golf friends apex legends college kings,0
2022-05-08,leagueoflegends video post valorant strategy game gives instructions soldiers real time click link watch,0
2022-05-08,leagueoflegends jk,0
2022-05-08,genshin impact leagueoflegends honkai impact kpop stray kids txt enhypen ateez boyz itzy,1
2022-05-08,would interesting see would happen games like leagueoflegends would benefit nd market sales royalties would lower game purchases ability trade would get sale,0
2022-05-08,leagueoflegends comfort game totally recommend,1
2022-05-08,ay yo gay representation would pretty dope like base skin think made look cleaner would even better gay pride varus skin tbh gt gt,0
2022-05-08,woman mentally emotionally terrorized us women hoops legend cynthia cooper dyke center probe allegations abuse players shadow league,0
2022-05-08,bisexual leagueoflegends universe straight arcane universe,1
2022-05-08,independent portrayal league legend ahri mdni writer multiship chemistry pansexual,1
2022-05-08,bro gotta add gm leagueoflegends whenever talk god gamer status,0
2022-05-08,took time social media enjoy offseason fullest got say boy miss shouting good fucking leagueoflegends anyone would like vod review together chat casting dm always open dutch english,1
2022-05-08,happy birthday still outdated voiceover update already said would years ago along mf gotten two high tier skins since actual canon character still basic skank vo,1
2022-05-08,warriors leagueoflegends cinematic,0
2022-05-08,mama wants cold hard cash,0
2022-05-08,didnt spend money leagueoflegends shut,0
2022-05-08,like share fan since day love leagueoflegends visit us com,1
2022-05-08,leagueoflegends friends sentiment toxicity read,0
2022-05-08,streaming leagueoflegends wild rift come hang powered,0
2022-05-08,arcane league arcane legends arcane,0
2022-05-08,really think decline age kicking club best needs play slower league barca thing perfect bridge legend,1
2022-05-08,cannot believe saying leagueoflegends kind amazing ts almost like created steve jobs,1
2022-05-08,leagueoflegends taking application good day madam,1
2022-05-08,leagueoflegends durability update makes every character tankier,0
2022-05-08,streaming leagueoflegends wild rift come hang powered,0
2022-05-08,riot games leagueoflegends,1
2022-05-08,need new gaming buddies mutuals rt appreciated enjoy play shin megami tensei persona leagueoflegends apex legends pokemon go kirby elden ring paladins nice meet yall,0
2022-05-08,streaming twitch playing leagueoflegends,0
2022-05-08,today final day casting desk year two past three days commentated games apex legends emea na lcq huge thanks support season make pro league broadcast,1
2022-05-08,games play play games leagueoflegends,1
2022-05-08,add batman skins,0
2022-05-08,leagueoflegends effect finest,1
2022-05-08,anime leagueoflegends valorant genshin impact gf,1
2022-05-08,pov wonderimiya playing leagueoflegends,0
2022-05-08,academy fresh faced via league playoff shenanigans league champions steadiness championship legend jordan one,1
2022-05-08,leagueoflegends taken life,0
2022-05-08,pic legti clue abt cars leagueoflegends streamer youtuber,0
2022-05-08,excited announce arrival contsem leagueoflegends roster new assistant manager please welcome,1
2022-05-08,lolzz cannot forget one worst days united fans way win league wonder see something like agureo legend,0
2022-05-08,leagueoflegends,0
2022-05-08,saying mages supports useless cannot play play adc soon xerath soraka pops aram take instantly soraka healing match xerath deleting enemy carries screens away play,0
2022-05-08,im kinda mad prom made miss leagueoflegends time,0
2022-05-08,definitely leagueoflegends crossover incoming,1
2022-05-08,worst day leagueoflegends better best day follower,0
2022-05-08,buy making customs inspired leagueoflegends characters week,1
2022-05-08,remembers love leagueoflegends visit us com,1
2022-05-08,happy birthday demon pants,0
2022-05-08,probably wholesome thing imaginable,0
2022-05-08,many crypto legends part league founded many first buy team yea cheers,1
2022-05-08,yes actually type chat hehexd,0
2022-05-08,ap twitch players rejoice,0
2022-05-08,leagueoflegends summer split applications open first wave sat may th second wave sat may th final deadline sun may th pmpt apply early receive feedback good luck summoners,0
2022-05-08,leagueoflegends epic gaming session,0
2022-05-08,live noob player back league leagueoflegends via,0
2022-05-08,worst day fishing still beats best day leagueoflegends,0
2022-05-08,leagueoflegends,0
2022-05-08,leagueoflegends dead daylight discord instagram twitter,0
2022-05-08,leagueoflegends stream twitch pm pdt,1
2022-05-08,hello guys play leagueoflegends,0
2022-05-08,leagueoflegends,0
2022-05-08,happy birthday tavvy aka heatseeker player aka leagueoflegends top laner aka terrible rl,0
2022-05-08,source mathu musings patch second golden age leagueoflegends,0
2022-05-08,leagueoflegends video post valorant strategy game gives instructions soldiers real time click link watch,0
2022-05-08,leagueoflegends sure,0
2022-05-08,mfs,0
2022-05-08,vaguely remember kind research male vs female leagueoflegends players something differences amp brains men able focus details micro whereas females higher potential macro play,1
2022-05-08,hi remember,0
2022-05-08,mom types lmao stop mentally ill speak,0
2022-05-08,think nice birthday present would vgu,0
2022-05-08,dylan historic fort coast charleston dylan wonder could play leagueoflegends,0
2022-05-08,chat click disagree cause started toxic cause lost lane blame cause winning game rest team really riot people afking saying report nothing happens,0
2022-05-08,leagueoflegends client got disgusting client modern game ever way game client worse would believe,1
2022-05-08,leagueoflegends,0
2022-05-08,darkin birthday one two hunters spirits inside birthday,0
2022-05-08,peaked life leagueoflegendswhat could woman want,0
2022-05-08,money aside brand aside kid needs ask one thing want keep playing farmers league want write name history real madrid along greats time become legend rm keep plowing field psg,0
2022-05-08,leagueoflegends personalities,0
2022-05-08,never thought would playing leagueoflegends bc style arcane something,0
2022-05-08,leagueoflegends,0
2022-05-08,please buy riotgames delete leagueoflegends world would better,1
2022-05-08,killing nunu,0
2022-05-08,asu,0
2022-05-08,leagueoflegends players spending mother day queueing consecutive hours instead hanging mother perma leech,0
2022-05-08,hi wanted little poll contest thingie elect hardest champion leagueoflegends criteria mechanics skill map awareness needed comeback outscaled etc really objective champs selected random,1
2022-05-08,redo every single one done past since nothing tracking get completed right away,0
2022-05-08,playing jam enemy series arcane leagueoflegends commercial free always,0
2022-05-08,hijacking leagueoflegends accounts tale stealing chinese boosters win trading accounts,0
2022-05-08,neymar never rises occasion double standard players like shakeri legend like klopp cannot bring best best neymar winning french league times row missing neuer,1
2022-05-08,gonna fuck dude,0
2022-05-08,forget kayle mom,0
2022-05-08,think go hours leagueoflegends always,0
2022-05-08,leagueoflegendspvp,0
2022-05-08,keep icons remove chat disable thing,1
2022-05-08,sure,0
2022-05-08,know hit breaking point go game become leagueoflegends,1
2022-05-08,novella draft done time reinstall leagueoflegends apparently masochist,0
2022-05-08,playing roblox leagueoflegends mothers day shame,0
2022-05-08,stream climbing learning,1
