Datetime,Text,label,label2
2022-05-08,literally why i started playing leagueoflegends,-1,1
2022-05-08,high noon mordekaiser skin spotlight league oflegends,1,0
2022-05-08,leagueoflegends aram,-1,0
2022-05-08,great stream today first win weekend league of the year sadly rewards were not worth it and that dupe casillas from the moments pack was a heartbreaker appreciate the love lately though you are all legends,1,1
2022-05-08,vi leagueoflegends i am on thursday night if you would like to hang out i am free on thursday night when i am free,-1,1
2022-05-08,i really hope viktor on leagueoflegends arcane is not going to b e a villain just because he walks with a cane,-1,1
2022-05-08,leagueoflegends top streams a las hora esp th antonioviewers xixauxasviewers,-1,1
2022-05-08,leagueoflegends road to gold,-1,0
2022-05-08,what videogame would you like to star in leagueoflegends,-1,1
2022-05-08,i would never forget you lt,-1,0
2022-05-08,is not it like pokmon leagueoflegends,-1,-1
2022-05-08,i have such a love hate relationship with i love the game it hates me and matches me with people who are actually good at the game every time,1,1
2022-05-08,the usual streaming some leagueoflegends with kelgateskollections,-1,0
2022-05-08,yes,-1,1
2022-05-08,vs it is finally here the leagueoflegends mid season,1,0
2022-05-08,leagueoflegends grind ranked,-1,0
2022-05-08,you should join the discord in case,-1,0
2022-05-08,yh well idk ab u but followers or twitter career isnt something im trying to achieve but i understand that having followers that play leagueoflegends means a lot to you figured from ur vocabulary u either argue by mentioning followers or calling ppl random creative,-1,1
2022-05-08,cont player legend and king of the kop scored for the th consecutive premier league match,1,0
2022-05-08,leagueoflegends live do oreinha via,1,0
2022-05-08,gta v and leagueoflegends,-1,0
2022-05-08,osman has been streaming leagueoflegends for minutes and no one s watching them go say hi and make their day tag your favourite leagueoflegends streamer,1,-1
2022-05-08,leagueoflegends pff more like league of dodges,1,1
2022-05-08,leagueoflegends,-1,0
2022-05-08,solo alcohol y leagueoflegends,1,0
2022-05-08,pool party,-1,1
2022-05-08,play leagueoflegends,-1,1
2022-05-08,please welcome as our new tempest gaming main leagueoflegends manager looking forward to what this new and staffed roster can do for us as we look to make moves in summer proving grounds her twitch,-1,1
2022-05-08,yo going live right now going to play a bit of leagueoflegends and then see what we get into after that new follower emotes and new overlays are live come by and vibe,1,1
2022-05-08,assist,-1,0
2022-05-08,world of warcraft runescape no mans sky cod warzone cs go rocket league sea of thieves leagueoflegends overwatch apex legends dota final fantasy xiv and many more,1,-1
2022-05-08,leagueoflegends o gta rp,-1,0
2022-05-08,lol,1,1
2022-05-08,a photo with a league of ireland and legend,1,0
2022-05-08,if you ever want to beat me in leagueoflegends just play tristana because i will be half mast the whole game,-1,1
2022-05-08,leagueoflegends video post valorant a strategy game that gives instructions to soldiers in real time click the link below to watch now,-1,0
2022-05-08,power to him cuz if i ever become a dad the last thing my kids are touching is leagueoflegends,1,0
2022-05-08,gt leagueoflegends in gt my team has a tank,-1,1
2022-05-08,you gotta respect how long rekkles has managed to stay relevant in the leagueoflegends scene its actually super impressive,1,1
2022-05-08,isso vs pink dragons h leagueoflegends,1,0
2022-05-08,leagueoflegends,-1,0
2022-05-08,the thing about skins in leagueoflegends most of them are locked on a paywall where there is now choice but to whale spend money shame because there are a lot of nice skins for the champions i play wild rift recently,-1,1
2022-05-08,your honor leagueoflegends,-1,1
2022-05-08,i am sitting at this bar raging over a hockey game and josh is playing leagueoflegends on his phone,-1,-1
2022-05-08,jax pentakill leagueoflegends,-1,0
2022-05-08,leagueoflegends,-1,0
2022-05-08,i am now streaming on twitch playing leagueoflegends,-1,1
2022-05-08,stream is gonna start at pm cdt instead of due to me needing to eat i am gonna play leagueoflegends with my hubby again,-1,1
2022-05-08,omg my main in leagueoflegends i love them,1,1
2022-05-08,getting back into leagueoflegends was a mistake lol,-1,0
2022-05-08,finally watched i really liked it also ended up playing again and it might just be me but when do i stop getting steamrolled by smurfs,1,0
2022-05-08,leagueoflegends is at it is peak because of the chat bug this is the most fun i have had in a long time,1,1
2022-05-08,i have a confession i have been in a love hate relationship leagueoflegends for years now every time i go back i have fun for games and then it makes me miserable,1,0
2022-05-08,cute but riot please remove red trinked from minion and super minons in aram,-1,1
2022-05-08,leagueoflegends top streams a las hora esp th antonioviewers elbokeronviewers,-1,1
2022-05-08,here s your weekly lineup pokemon social night leagueoflegends windjammers street fighter rocket league super smash bros ultimate guilty gear strive king of fighters and mario kart deluxe register today,1,1
2022-05-08,my hatred for gamers grows stronger everyday grown men whose hobbie is csgo or leagueoflegends deserve to be ostracized hopefully credit scores in the future take care of that,1,1
2022-05-08,wait is that sponsor friendly pro leagueoflegends player fudge what a stand up and socially aware guy i enjoy engaging with him in a parasocial environment,1,1
2022-05-08,apparently in leagueoflegends s auto chess mode teamfight tactics the game was already pretty balanced but people complained about popular character being op just because she was annoying so they just made a completely insignifcant nerf and people stopped playing her,-1,-1
2022-05-08,one billion games of leagueoflegends,1,0
2022-05-08,leagueoflegends,-1,0
2022-05-08,leagueoflegends,-1,0
2022-05-08,welcome back to bash bros sunday malcolm and and i are playing some leagueoflegends arams for some reason let s go,-1,1
2022-05-08,seems like a good kid i hope he never finds out about leagueoflegends,-1,1
2022-05-08,man i forgot how much fun leagueoflegends is i havent stopped playing lately,1,1
2022-05-08,there is nothing that makes me smile more than leagueoflegends account k be euw capsules email included buy now,1,1
2022-05-08,i am an honorable leagueoflegends,1,1
2022-05-08,apex legend or leagueoflegends,-1,0
2022-05-08,i am now streaming on playing of legends stop by and chill,-1,0
2022-05-08,out of leagueoflegends maybe,-1,0
2022-05-08,when,-1,0
2022-05-08,streaming leagueoflegends at pm est come hang out i got a new monitor set up tonight i am trying for the first time very excited,1,1
2022-05-08,do you know varus lore,-1,0
2022-05-08,please welcome our summer season leagueoflegends staff team,1,1
2022-05-08,at this point riot is probably just taking the piss there is no way they have not already discussed how disgustingly clunky and bug ridden the client is but nothing s on the horizon so they will leave it as is until leagueoflegends comes out or something,-1,-1
2022-05-08,happy mother s day and happy st birthday to hall of famer and negro league legend turkey stearnes who flapped his arms like a turkey when he ran he worked in a detroit auto factory owned by the tigers owner but could not play for the team because of his race,-1,1
2022-05-08,likes please love leagueoflegends visit us com,1,1
2022-05-08,are you afraid to misgender a fictional character,1,0
2022-05-08,chivas celebrates years of history today el rebao has seen great legends wear it is jersey and some unforgettable memories created can los rojiblancos get their th league title to celebrate this year,1,1
2022-05-08,play leagueoflegends or,-1,1
2022-05-08,it s the leagueoflegends event,1,0
2022-05-08,managed to snatch more league title goals in games promotions titles retired a legend of arsenal result,1,0
2022-05-08,yo looks nice nice to see that you are drawing some leagueoflegends champions now c,-1,1
2022-05-08,leagueoflegends,-1,0
2022-05-08,i am halfway through arcane and know nothing about leagueoflegends but i love the video gameness of the show everyone is unfairly attractive and all the settings are unbelievably cool like a book you wrote yourself as a teen filled with mary sue ocs and sweet gadgets and magic,-1,1
2022-05-08,i love that everyone in the replies is demanding for a proper update for varus the varus love stands strong,1,1
2022-05-08,he won u lot loads of derbies and won leagues champions lg europa league scored a shit ton of goals he is a club legend if azpi is a club legend as ur fans say,1,1
2022-05-08,i guarantee you have only ever played leagueoflegends then,1,1
2022-05-08,m first having a trollpick mid so you have got to dodge and then having your midlaner take yuumi from you is so fun especially when she later on ints the entire game i love leagueoflegends,1,1
2022-05-08,five leagueoflegends characters we would love to see in,-1,1
2022-05-08,monster hunter genu celeste elite dangerous pokemon ruby final fantasy team fortress dark souls payday leagueoflegends super mario sunshine,1,1
2022-05-08,leagueoflegends,-1,0
2022-05-08,just heard my friend playing leagueoflegends rage turn off the game and start laughing like a minute later leagueoflegends sucks the happiness out of people,1,1
2022-05-08,you would think a small indie company like leagueoflegends would at least have their client figured out,1,1
2022-05-08,is funsmith a playable champion in leagueoflegends or it only exists in legends of runeterra,-1,1
2022-05-08,going live with some leagueoflegends before the wwe ppv tonight come stop by and say hi followers from affiliate,-1,-1
2022-05-08,tinder has a leagueoflegends tag ahaha,-1,0
2022-05-08,yo thanks for helping me climb all the way to gold in leagueoflegends,1,1
2022-05-08,best leagueoflegends game i have ever had and this is just before elections starts thank you guys for making me forget my anxiety even just for a moment,1,1
2022-05-08,leagueoflegends video post valorant a strategy game that gives instructions to soldiers in real time click the link below to watch now,-1,0
2022-05-08,they are in a much better place now may their souls rest in peace thank you very much for the support really means a lot big hugs,1,1
2022-05-08,pls nexus raid mod,-1,0
2022-05-08,wrong,-1,-1
2022-05-08,one of the things i love about dota is ability draft it would be fun to play it in league someday,1,1
2022-05-08,at this current time i have found out i own every emote in leagueoflegends all of them,1,0
2022-05-08,what do you know about heights you always seem to be looking down what can we even look up to from your perspective,-1,0
2022-05-08,it has to be said which one of u plays leagueoflegends,1,1
2022-05-08,top right corner makes me think blue essence,1,1
2022-05-08,it is up to the creators of the show who have confirmed it,1,0
2022-05-08,learning how to play mid in leagueoflegends come watch and give me some tips cause i be bad,-1,-1
2022-05-08,vvl vs awkwards h leagueoflegends,1,0
2022-05-08,reddit was created so i could go into the comments section and post bad leagueoflegends metagame takes someone gets pissed and flames me and says why i am wrong and then that person gets downvoted by the hivemind,-1,-1
2022-05-08,if you ever think your ideas are weird know that i wrote a fanfic where i mixed dragon age with leagueoflegends when i was so yea,1,0
2022-05-08,leagueoflegends ft,-1,0
2022-05-08,isn t queuing up for a game of leagueoflegends already a wrong decision,-1,-1
2022-05-08,leagueoflegends event,-1,0
2022-05-08,un popular opinion leagueoflegends is sort of too difficult i ts kind of like it was thought up by a guy who still lives with his parents,1,1
2022-05-08,leagueoflegends new grindr,-1,0
2022-05-08,all of these require previous work in leagueoflegends besides talent management organized timely responses detail oriented important basic knowledge of spreadsheets must have open availability from may august to must be available first week of july,1,1
2022-05-08,looking to hire a few roles entry level paid contracted position leagueoflegends na broadcast production assistant content coordinator broadcast talent management tournament ops midwest only see below for details please dm with the role if interested,-1,1
2022-05-08,arcane leagueoflegends,-1,0
2022-05-08,this has some leagueoflegends vibes,-1,0
2022-05-08,omori stellaris final fantasy the last of us halo monster hunter world or genu idk fire emblem three houses skyrim leagueoflegends hurts but it is true minecraft,-1,0
2022-05-08,earned psn trophies bronze in ruined king a leagueoflegends story,-1,-1
2022-05-08,it s not up to you,-1,0
2022-05-08,leagueoflegends corruption the things he does for me,1,0
2022-05-08,i lost it a long time ago i play leagueoflegends daily xd,1,1
2022-05-08,just riot being woke,1,-1
2022-05-08,state champions as our esports team captured state championships in super smash brothers and leagueoflegends congratulations on this incredible accomplishment in your inaugural year,1,1
2022-05-08,i cannot found the updated version of the splash art,-1,0
2022-05-08,hi champ you had a fantastic season we would not of won the league without you you are loved by everyone a massive congratulations on finally getting your winners medal legend and cannot wait to see you back on the pitch,1,1
2022-05-08,can we just have a leagueoflegends with all this cool stuff in it thanks,1,1
2022-05-08,prerry sure my pic from march was not on your leagueoflegends timeline w man,1,1
2022-05-08,nice work,-1,1
2022-05-08,for a really reduced price i will link your leagueoflegends account to prime gaming,-1,0
2022-05-08,leagueoflegends and val,-1,0
2022-05-08,yeah it is called leagueoflegends,-1,1
2022-05-08,anyone ever caught cheating in a competitive game should be banned from those and similar competitions for life no exceptions,-1,-1
2022-05-08,i am pretty sure beckham is classed as a legend caps plenty of trophies played at some of the best clubs in the world saved major league soccer of the other guys are pretty good at american sports and the rd guy drives a car,1,1
2022-05-08,lennydarkcloud now streaming leagueoflegends,-1,0
2022-05-08,arena of valor similar to leagueoflegends but a lot simpler and on mobile,1,0
2022-05-08,cflaa fund the showtime legendary collection has partnered with many legends own a piece of league history with your limited edition legendary digital trading cards,1,-1
2022-05-08,logicool g lol k da pro leagueoflegends gx lightsync rgb,1,1
2022-05-08,i am high asl n i wanna play bad can unban me i am tranna run it up i will stop cussin them trash people out,-1,-1
2022-05-08,check out this leagueoflegends clip i recorded with,1,0
2022-05-08,pls can you to put back the raid of nexus mod i love it,1,1
2022-05-08,she is neeko a character from leagueoflegends,-1,0
2022-05-08,i was going crazy on mobile,-1,-1
2022-05-08,with these losers players we never win a premier league and champions league no quality united must change everything ten hag must do as guardiola did with the city by replacing renewing and taking full powers beyond that is the destruction of the united legend,-1,-1
2022-05-08,leagueoflegends,-1,0
2022-05-08,mines a video game very specifically leagueoflegends can t really seem to get away from it the lore tft etc and anytime i go back to it i have to get really good again thankfully i can make time for it but you know it would be better if it was like coding,1,1
2022-05-08,lol leagueoflegends,1,1
2022-05-08,so basically what happened is that a leagueoflegends coach by the name of iridiell from the team empireclubeu insulted the entire lobby in a game and after i confronted them with the fact that their behavior is hurtful towards others they started dodging questions and,-1,-1
2022-05-08,day olaf leagueoflegends,-1,0
2022-05-08,it a gif but u can see real video with ultra example for new roster league of legend,1,0
2022-05-08,leagueoflegends,-1,0
2022-05-08,leagueoflegends,-1,0
2022-05-08,i hate jhin leagueoflegends,-1,-1
2022-05-08,live now on leagueoflegends,-1,0
2022-05-08,what is this thing and why is it on my leagueoflegends timeline,1,0
2022-05-08,live now for some leagueoflegends and ber it s saturday night morgana main,-1,0
2022-05-08,leagueoflegends ha that is so funny i used to play that game until this one game where i was playing top lane as attrox vs urgot counter picked but managed to get the first kill and bought cull on free recall then my shaco jungle died ganking bottom typed lol then quit,1,0
2022-05-08,someone near me is playing enemy by imagine dragons jid arcane and leagueoflegends,-1,-1
2022-05-08,i have said it before premier league stats are both lazy journalism and they are an attempt to erase legends of the game add cl stats to that as well while we are at it,-1,0
2022-05-08,leagueoflegends,-1,0
2022-05-08,league of legend,-1,0
2022-05-08,i had months to get in shape work on my mental health and fix my life and instead i played leagueoflegends,-1,1
2022-05-08,sunday stream quickie leagueoflegends test,-1,0
2022-05-08,i swear if this leagueoflegends music festival thing is real and they introduce a new group or artists i will cry if jinx is in the music world,-1,0
2022-05-08,leagueoflegends video post valorant a strategy game that gives instructions to soldiers in real time click the link below to watch now,-1,0
2022-05-08,leagueoflegends is greater than,-1,1
2022-05-08,naur which wench from the past is trying to reach me through leagueoflegends of all places,1,0
2022-05-08,bro hes the highest goalscorer in history of sunday league football hes a legend jude will never outscore his sl career goals lmao,-1,1
2022-05-08,leagueoflegends,-1,0
2022-05-08,leagueoflegends,-1,0
2022-05-08,i am now streaming on twitch playing leagueoflegends,-1,1
2022-05-08,pov you are about to sit down to play leagueoflegends and climb,-1,1
2022-05-08,ok i honestly did not expect to want a title so much,-1,1
2022-05-08,leagueoflegends an interesting image has been circulating among aunt mohteryoshka s whatsapp group and it seems to be pool party seraphine she said she is uncertain of it and will investigate further but so far it seems to be oddly accurate to the actual design,-1,1
2022-05-08,check out my play recorded by desktop app for,1,1
2022-05-08,bro you get what i mean my point was he did not win champions league trophies or played a big role in the two prems obviously he played a massive role in the cup winners cup and fa cups the point i was trying to make is you do not need to have loads of trophies to be a legend,-1,1
2022-05-08,yorick things recorded by desktop app for,-1,0
2022-05-08,the two worst leagueoflegends players you will ever meet,-1,-1
2022-05-08,hey hear me out fighters for project l in the shadows of darkness a ninja is molded by the lives they take either for granted or in earnest balance has no place for the one who kills to kill again zed please and thanks,-1,-1
2022-05-08,sergio aguero today received a description update on fut in the database a legend of the premier league era end of an era,1,0
2022-05-08,milan s salary cap is around m half of what inter and juve has and they are winning the league it is possible when you do not whine and do not be a stepping stone club big props to this legend too,1,1
2022-05-08,if riot made aatrox simp for kayle they can make varus gay,1,-1
2022-05-08,league of leends,-1,0
2022-05-08,just another day on leagueoflegends lmao,-1,1
2022-05-08,leagueoflegends can burn for all i care,-1,1
2022-05-08,who do u think the hottest yordle in leagueoflegends is,1,0
2022-05-08,league of legend mdr,-1,0
2022-05-08,leagueoflegends,-1,0
2022-05-08,i would prob go off which games pulls the most money and viewership because in that case prob gta and leagueoflegends,-1,0
2022-05-08,katarina leagueoflegends,-1,0
2022-05-08,leagueoflegends l k while in a deep datamine from aunt motheryoshka she found isolde s model in the genshin impact files it appears riot games tried to hid it in there until her release but aunt motheryoshka was not dumb to fall for it below you can see a render of her,1,1
2022-05-08,the world,-1,0
2022-05-08,legends of runeterra does a much better job and showcases alot more rep than base league but in terms of lol the amount is growing but still relatively small and mostly relegated to the female castm,1,1
2022-05-08,bye leagueoflegends may no one remember you,-1,-1
2022-05-08,i only want to play leagueoflegends when i want to feel like a cis white man,-1,1
2022-05-08,also plays leagueoflegends hopeless romantic plays video games doesnt have time for bs dont ask me for money im not a sugar daddy and im not gunna pay your bills please be responsible and pay your own im in this for the relationship i am a dom male looking for my submissive,-1,1
2022-05-08,i personally prefer erl leagueoflegends rules about roster,1,0
2022-05-08,opens leagueoflegends,-1,0
2022-05-08,leagueoflegends ranked funny moments and chats,-1,1
2022-05-08,high noon varus skin spotlight league oflegends,1,0
2022-05-08,high noon katarina skin spotlight league oflegends,1,0
2022-05-08,prestige high noon talon skin spotlight league oflegends,1,0
2022-05-08,fuck micro macro and global because i hate economics as much as i hate leagueoflegends,-1,-1
2022-05-08,the urge to get leagueoflegends,-1,0
2022-05-08,i love how they mention mf aswell both still did not get anything,-1,1
2022-05-08,say leagueoflegends or some shit they never question it,-1,-1
2022-05-08,leagueoflegends,-1,0
2022-05-08,pls remove sion from the game or rework his ultimate it s literally impossible to win games when there is always some fucking sion players who just run it down go but oneshot turrets nice champion,1,1
2022-05-08,going live with some leagueoflegends been a while since i last played so go easy on me okie,1,1
2022-05-08,bloodmoon cosmic dark star and project i guess,-1,0
2022-05-08,congrats on a win here is lp also why did you lose that game i am deducting you lp wonder why so many players flame during ranked games,-1,1
2022-05-08,i just found out there people out there looking for girlfriends boyfriends in video games like leagueoflegends pubg mobile legends and etc,-1,1
2022-05-08,hyun s leagueoflegends stick figure spotlights are insane,-1,-1
2022-05-08,logicool g lol k da pro leagueoflegends gx lightsync rgb,1,1
2022-05-08,maybe not too sure,-1,-1
2022-05-08,is it so hard to bind ip block vpns make placements based on cs min or anything that will stop this cancer ruining the game for other people playing it,-1,-1
2022-05-08,yeah their music is pretty bad,-1,1
2022-05-08,what do you think love leagueoflegends visit us com,1,1
2022-05-08,leagueoflegends,-1,0
2022-05-08,league of legend,-1,0
2022-05-08,i would like to see a mod about the characters from leagueoflegends ngl would be interesting to see ornn against volibear in a rapbattle,-1,1
2022-05-08,hewwo any leagueoflegends players wanna play later add angelina,1,1
2022-05-08,aphelios from leagueoflegends,-1,0
2022-05-08,leagueoflegends,-1,0
2022-05-08,leagueoflegends pfp,-1,0
2022-05-08,i feel like we need to stop talking about leagueoflegends and start talking about the current socioeconomic state of the world,-1,0
2022-05-08,so is this how it is going to go forever i am plat support player for that last years or so playing from season getting honor every season as a respectable league player,-1,1
2022-05-08,logicool g lol k da pro leagueoflegends gx lightsync rgb,1,1
2022-05-08,if you are a sigma female i am a omega male looking for a cool girl to play leagueoflegends with,-1,1
2022-05-08,ty for making the skinline where it gave my meaning to the,-1,1
2022-05-08,to the fans of thank you for your continued support you are in a league of i hope we did your legends justice see you soon with another legend x,-1,1
2022-05-08,u forgot that we are on leagueoflegends twitter,-1,0
2022-05-08,did you say leagueoflegends i want more league friends,1,1
2022-05-08,war of xazory leagueoflegends crossed with dark souls but much more challenging,-1,0
2022-05-08,give camille a crime city or debonair skin,1,-1
2022-05-08,dpr live song for leagueoflegends,-1,0
2022-05-08,i am not good at this whole flirting bsi do nothing all day but gym and leagueoflegends,-1,0
2022-05-08,under the influence of epic gaming,1,0
2022-05-08,sometimes i play senna and am reminded that i am the greatest leagueoflegends player in our current society,1,1
2022-05-08,bro i hope they fucking make adc playable not have people pick adc turret dive level rape champs,-1,0
2022-05-08,i also accept leagueoflegends,1,1
2022-05-08,the case jv rocket league legends won their last match of the season vs la follette last week congratulations on an undefeated season so proud of everyone,1,1
2022-05-08,what is this thing and why is it in my leagueoflegends timeline,1,0
2022-05-08,privilege is why arteta gets the job ahead of a legend like vieira do i need to remind you that they are both in the same league but not mates when it comes to table positions go figure,1,1
2022-05-08,from leagueoflegends this is a joke lnjdwnmwdm,-1,1
2022-05-08,the schedule for the leagueoflegends summer split has been revealed with proceedings to commence on june the post,1,0
2022-05-08,tealz will return on the th to the leagueoflegends wild rift with lots of libido and love for all genders colors and sizes,1,1
2022-05-08,pov average league of legend player,-1,0
2022-05-08,leagueoflegends,-1,0
2022-05-08,i really think riot and leagueoflegends reporters need to update north america s flag,1,-1
2022-05-08,leagueoflegends video post valorant a strategy game that gives instructions to soldiers in real time click the link below to watch now,-1,0
2022-05-08,mass effect is my absolute favorite i was so emotionally drawn to the story and characters leagueoflegends cod in terms of competitive gaming,1,1
2022-05-08,leagueoflegends stream in less than an hour,1,0
2022-05-08,i ve enjoying leagueoflegends lately,1,1
2022-05-08,anyone who disagrees can hang,-1,-1
2022-05-08,wait rly which ones have u won except leagueoflegends,1,1
2022-05-08,do any sweet fellow leagueoflegends players wanna gift me arcana xayah,1,1
2022-05-08,leagueoflegends durability update patch,-1,0
2022-05-08,leagueoflegends,-1,0
2022-05-08,you play leagueoflegends,-1,1
2022-05-08,no,-1,-1
2022-05-08,idk who needs to hear this but leagueoflegends has hundreds of songs that u can use for free in videos and of them are bangers,-1,1
2022-05-08,anything except leagueoflegends,-1,0
2022-05-08,explain in leagueoflegends terms,-1,0
2022-05-08,gonna play the hit game leagueoflegends and try not to end it all,1,1
2022-05-08,some vs action here in leagueoflegends semis winner to championship,1,1
2022-05-08,is leagueoflegends down why leagueoflegends is not working today whats up with leagueoflegends now of legends of legendsdown,-1,0
2022-05-08,this man should be hailed as a milan legend if he wins them the league he is dragged them over the line in so many games at years of age,1,1
2022-05-08,time for stream we playing leagueoflegends and maybe some more crew we ll decide based on how the matches go,-1,1
2022-05-08,just uninstalled leagueoflegends where the sexy bitches at,-1,0
2022-05-08,user reports indicate leagueoflegends is having problems since pm edt rt if you are also having problems,-1,-1
2022-05-08,i am about to play to get away from the toxicity of social media that s sad,-1,0
2022-05-08,chill stream today to start just going to be rocking some ranked games on leagueoflegends maybe i will see you there twitch x soules,1,0
2022-05-08,leagueoflegends,-1,0
2022-05-08,he s not a legend end of can t have one league title at a team like united and be classed as a legend de gea does not even touch the sides of schmichael or van der saar,-1,1
2022-05-08,happy to the only mom in all of leagueoflegends,-1,1
2022-05-08,why did i wake up today and decide to play leagueoflegends,1,1
2022-05-08,i play to league of legend oh la con,-1,1
2022-05-08,caitlyn and vi arcane leagueoflegends,-1,0
2022-05-08,ah no leagueoflegends entr al chat,-1,-1
2022-05-08,leagueoflegends because i am addicted to it,-1,0
2022-05-08,how old do you think he is mate and arsenal had still won league titles by then so a switch from luton is still plastic and glory hunting there s also been so many instances where he is been plastic e g calling cass pennant a legend and encouraging the abuse of players,-1,1
2022-05-08,legends of this league,-1,0
2022-05-08,he seems in the league of real legends not pretender,-1,0
2022-05-08,what does cc stand for crowd control i play leagueoflegends and therefore have no friends,-1,1
2022-05-08,prolific goalscoerer and bohs legend between johnny mcdonnell played for ireland at full and amateur level as well as representing the irish league definitely a repesentative jersey of some kind going to take a punt of irish league,1,1
2022-05-08,sona now the best enchanter in league oflegends,1,1
2022-05-08,her name is yuumi like the leagueoflegends character only months old just a baby,1,1
2022-05-08,happy to do so again sometime i just finished watching arcane season i know late to the boat but bloody great show got me looking at leagueoflegends now,1,1
2022-05-08,leagueoflegends xd,-1,1
2022-05-08,omg they added a leagueoflegends tab what,-1,0
2022-05-08,is there any safe places to play leagueoflegends esports bet,1,1
2022-05-08,hey kid twitter was supposed to be you should not lie just to get onto twitter also the destiny community is thee most toxic place on earth next to the leagueoflegends community and then warframe,-1,0
2022-05-08,because leagueoflegends is not availble on console yet the minute it is i will be moving straight to it i play on phone but phone gaming is terrible,-1,-1
2022-05-08,even leagueoflegends has watch the game reply guys,-1,0
2022-05-08,if people are so concerned how about stop playing fortnite or warzone and leagueoflegends,-1,0
2022-05-08,go back to playing leagueoflegends and getting no bitches,-1,-1
2022-05-08,the leagueoflegends tag is real where was this when i was on there,1,0
2022-05-08,which one,-1,0
2022-05-08,sorry ladies i cannot have sex with all of you i am too busy playing leagueoflegends this is a cry for help,-1,0
2022-05-08,doot without leagueoflegends,-1,0
2022-05-08,i see so it is sort of like leagueoflegends with unlocking people,1,1
2022-05-08,check out my play recorded by desktop app for,1,1
2022-05-08,when i told my cousin her name he thought you named her after a character from leagueoflegends,-1,0
2022-05-08,we are getting no hit by someone who plays leagueoflegends,-1,0
2022-05-08,minecraft and gta leagueoflegends is shit in my opinion valorant is boring as shit halo is good but old rocket league is overrated havent played elden ring im good at fortnite but quit for months im still away from it but the game is absolutely ass fortnite is shit,-1,-1
2022-05-08,of course the legend that could not win one premier league in his career says that,-1,-1
2022-05-08,still live switched to leagueoflegends,-1,0
2022-05-08,can he get an asu now,1,0
2022-05-08,leagueoflegends prodigy,-1,0
